experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
mu01_01,1,1,80,9.9,0.00928,914,0.812,0.0809,,
mu01_01,1,2,160,30.3,0.00452,1003,0.851,0.7592,,
mu01_01,1,3,240,107.9,0.00713,383,0.807,0.9788,,
mu01_01,1,4,320,426.6,0.00849,836,0.86,0.4809,,
mu01_01,1,5,400,500.0,0.00813,38,0.816,0.5502,,
mu01_01,1,,,,,,,,400,215
mu01_01,2,1,80,12.4,0.00267,442,0.913,0.0244,,
mu01_01,2,2,160,17.1,0.00873,694,0.965,0.7977,,
mu01_01,2,3,240,134.3,0.00873,694,0.965,0.7977,,
mu01_01,2,4,320,268.2,0.00767,820,0.948,0.508,,
mu01_01,2,5,400,397.3,0.00441,870,0.897,0.7754,,
mu01_01,2,6,480,187.5,0.00401,888,0.905,0.1465,,
mu01_01,2,7,560,182.8,0.00764,762,0.903,0.7247,,
mu01_01,2,8,640,210.1,0.00809,827,0.98,0.506,,
mu01_01,2,9,720,500.0,0.00809,827,0.98,0.506,,
mu01_01,2,,,,,,,,720,547
mu01_01,3,1,80,13.4,0.00375,710,0.885,0.453,,
mu01_01,3,2,160,23.1,0.00701,470,0.986,0.6791,,
mu01_01,3,3,240,89.0,0.00053,860,0.848,0.1087,,
mu01_01,3,4,320,182.6,0.00835,54,0.844,0.6808,,
mu01_01,3,5,400,212.7,0.00691,16,0.954,0.2117,,
mu01_01,3,6,480,472.5,0.00691,16,0.954,0.2117,,
mu01_01,3,7,560,258.8,0.00744,422,0.969,0.7796,,
mu01_01,3,8,640,500.0,0.00744,422,0.969,0.7796,,
mu01_01,3,,,,,,,,640,488
mu01_01,4,1,80,10.2,0.00648,489,0.808,0.6917,,
mu01_01,4,2,160,49.7,0.00833,353,0.84,0.6349,,
mu01_01,4,3,240,424.6,0.00068,45,0.89,0.4918,,
mu01_01,4,4,320,249.6,0.00924,255,0.899,0.8373,,
mu01_01,4,5,400,500.0,0.0048,53,0.995,0.6819,,
mu01_01,4,,,,,,,,400,244
mu01_01,5,1,80,12.0,0.00335,875,0.99,0.6313,,
mu01_01,5,2,160,74.6,0.00183,957,0.894,0.9699,,
mu01_01,5,3,240,410.5,0.00144,637,0.924,0.4346,,
mu01_01,5,4,320,500.0,0.00476,795,0.847,0.8848,,
mu01_01,5,,,,,,,,320,194
mu01_01,6,1,80,18.3,0.00354,451,0.906,0.8276,,
mu01_01,6,2,160,202.9,0.00605,275,0.816,0.7235,,
mu01_01,6,3,240,307.2,0.00071,829,0.94,0.3271,,
mu01_01,6,4,320,333.8,0.00685,465,0.959,0.2937,,
mu01_01,6,5,400,312.9,0.00685,465,0.959,0.2937,,
mu01_01,6,6,480,500.0,0.00685,465,0.959,0.2937,,
mu01_01,6,,,,,,,,480,513
mu01_01,7,1,80,14.5,0.00596,681,0.896,0.7145,,
mu01_01,7,2,160,98.8,0.00932,688,0.809,0.618,,
mu01_01,7,3,240,252.9,0.0062,900,0.942,0.311,,
mu01_01,7,4,320,243.5,0.00764,938,0.869,0.6604,,
mu01_01,7,5,400,207.0,0.00105,885,0.831,0.0633,,
mu01_01,7,6,480,271.2,0.00268,744,0.85,0.1044,,
mu01_01,7,7,560,162.3,0.00065,394,0.989,0.0105,,
mu01_01,7,8,640,194.6,0.00732,988,0.986,0.7127,,
mu01_01,7,9,720,497.5,0.00493,806,0.938,0.1874,,
mu01_01,7,10,800,173.7,0.00851,616,0.965,0.3617,,
mu01_01,7,11,880,176.5,0.00153,448,0.982,0.7699,,
mu01_01,7,12,960,130.9,0.00153,448,0.982,0.7699,,
mu01_01,7,13,1040,114.8,0.00219,770,0.952,0.1083,,
mu01_01,7,14,1120,109.8,0.00809,977,0.946,0.3559,,
mu01_01,7,15,1200,104.0,0.0029,965,0.923,0.0294,,
mu01_01,7,16,1280,196.1,0.0029,965,0.923,0.0294,,
mu01_01,7,17,1360,214.8,0.00574,1000,0.8,0.7867,,
mu01_01,7,18,1440,215.6,0.00064,460,0.891,0.989,,
mu01_01,7,19,1520,500.0,0.00011,973,0.905,0.1002,,
mu01_01,7,,,,,,,,1520,1690
mu01_01,8,1,80,26.0,0.00083,711,0.809,0.3898,,
mu01_01,8,2,160,355.8,0.00151,332,0.822,0.7474,,
mu01_01,8,3,240,190.5,0.00177,186,0.928,0.1966,,
mu01_01,8,4,320,292.5,0.00077,276,0.969,0.474,,
mu01_01,8,5,400,214.6,0.00116,271,0.992,0.348,,
mu01_01,8,6,480,132.1,0.00116,271,0.992,0.348,,
mu01_01,8,7,560,107.6,0.00116,271,0.992,0.348,,
mu01_01,8,8,640,484.0,0.00419,692,0.999,0.0989,,
mu01_01,8,9,720,194.9,0.00344,983,0.944,0.2106,,
mu01_01,8,10,800,479.9,0.00493,793,0.995,0.6956,,
mu01_01,8,11,880,335.0,0.00108,858,0.819,0.8226,,
mu01_01,8,12,960,188.0,0.00201,947,0.979,0.5276,,
mu01_01,8,13,1040,160.9,0.00102,800,0.977,0.9764,,
mu01_01,8,14,1120,184.0,0.00046,1018,0.982,0.6967,,
mu01_01,8,15,1200,161.6,0.00046,1018,0.982,0.6967,,
mu01_01,8,16,1280,235.4,0.00201,1023,0.844,0.8152,,
mu01_01,8,17,1360,192.3,0.00175,979,0.923,0.3258,,
mu01_01,8,18,1440,187.7,0.00178,1015,0.972,0.6595,,
mu01_01,8,19,1520,243.5,0.00178,1015,0.972,0.6595,,
mu01_01,8,20,1600,181.5,0.00175,979,0.923,0.3258,,
mu01_01,8,21,1680,468.5,0.00059,912,0.907,0.6664,,
mu01_01,8,22,1760,257.4,0.00175,979,0.923,0.3258,,
mu01_01,8,23,1840,351.2,0.00056,941,0.905,0.5432,,
mu01_01,8,24,1920,334.5,0.00175,979,0.923,0.3258,,
