experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
mu09_01,1,1,80,21.5,0.00837,561,0.861,0.2386,,
mu09_01,1,2,160,157.9,0.00641,678,0.802,0.9855,,
mu09_01,1,3,240,500,0.00519,75,0.994,0.579,,
mu09_01,1,,,,,,,,240,65
mu09_02,1,1,80,34.7,0.00076,32,0.946,0.0416,,
mu09_02,1,2,160,24.4,0.00076,32,0.946,0.0416,,
mu09_02,1,3,240,289.2,0.00595,655,0.88,0.1225,,
mu09_02,1,4,320,388.5,0.0029,989,0.947,0.5348,,
mu09_02,1,5,400,500,0.0029,989,0.947,0.5348,,
mu09_02,1,,,,,,,,400,248
mu09_03,1,1,80,26.3,0.00539,689,0.916,0.6808,,
mu09_03,1,2,160,242.6,0.00096,72,0.965,0.7915,,
mu09_03,1,3,240,229.4,0.00096,612,0.833,0.0105,,
mu09_03,1,4,320,500,0.00504,86,0.84,0.0605,,
mu09_03,1,,,,,,,,320,221
mu09_01,2,1,80,10.3,0.0013,40,0.868,0.9873,,
mu09_01,2,2,160,55.8,0.0013,40,0.868,0.9873,,
mu09_01,2,3,240,185.3,0.00666,807,0.986,0.8956,,
mu09_01,2,4,320,363.2,0.00145,948,0.895,0.8628,,
mu09_01,2,5,400,365.5,0.00145,948,0.895,0.8628,,
mu09_01,2,6,480,341.8,0.00745,389,0.961,0.0838,,
mu09_01,2,7,560,233.3,0.0097,694,0.953,0.5559,,
mu09_01,2,8,640,500,0.0097,694,0.953,0.5559,,
mu09_01,2,,,,,,,,640,326
mu09_03,2,1,80,32.1,0.00713,101,0.94,0.5632,,
mu09_03,2,2,160,28.5,0.00713,101,0.94,0.5632,,
mu09_03,2,3,240,102.7,0.00437,479,0.859,0.2062,,
mu09_03,2,4,320,500,0.00207,162,0.851,0.8438,,
mu09_03,2,,,,,,,,320,146
mu09_02,2,1,80,11.6,0.00397,799,0.972,0.8249,,
mu09_02,2,2,160,13,0.00467,56,0.906,0.4657,,
mu09_02,2,3,240,66.8,0.00958,719,0.937,0.936,,
mu09_02,2,4,320,173.2,0.00232,130,0.864,0.6436,,
mu09_02,2,5,400,205,0.00158,713,0.875,0.947,,
mu09_02,2,6,480,360.5,0.00201,538,0.975,0.0805,,
mu09_02,2,7,560,500,0.0055,1023,0.99,0.4227,,
mu09_02,2,,,,,,,,560,349
mu09_01,3,1,80,18.9,0.00309,369,0.88,0.5386,,
mu09_01,3,2,160,28.9,0.00183,774,0.9,0.1934,,
mu09_01,3,3,240,414.2,0.00688,729,0.836,0.5986,,
mu09_01,3,4,320,375.5,0.00034,866,0.862,0.6395,,
mu09_01,3,5,400,457.9,0.00961,877,0.833,0.9869,,
mu09_01,3,6,480,500,0.00034,866,0.862,0.6395,,
mu09_01,3,,,,,,,,480,343
mu09_03,3,1,80,30.7,0.00936,567,0.891,0.1241,,
mu09_03,3,2,160,14.5,0.00207,382,0.878,0.2423,,
mu09_03,3,3,240,196.9,0.00862,647,0.892,0.535,,
mu09_03,3,4,320,222.2,0.00083,305,0.957,0.3529,,
mu09_03,3,5,400,253.3,0.00083,576,0.972,0.7491,,
mu09_03,3,6,480,338.6,0.00027,247,0.876,0.4719,,
mu09_03,3,7,560,323,0.00027,247,0.876,0.4719,,
mu09_03,3,8,640,500,0.00273,49,0.823,0.7679,,
mu09_03,3,,,,,,,,640,399
mu09_01,4,1,80,19.7,0.00508,120,0.837,0.7204,,
mu09_01,4,2,160,51,0.00424,496,0.937,0.5721,,
mu09_01,4,3,240,422.8,0.0059,33,0.968,0.3255,,
mu09_01,4,4,320,417.1,0.00754,263,0.912,0.5305,,
mu09_01,4,5,400,500,0.00322,39,0.902,0.7752,,
mu09_01,4,,,,,,,,400,235
mu09_02,3,1,80,26.9,0.0076,774,0.916,0.8445,,
mu09_02,3,2,160,58.3,0.0076,774,0.916,0.8445,,
mu09_02,3,3,240,191.4,0.00963,204,0.886,0.264,,
mu09_02,3,4,320,283.5,0.00437,770,0.962,0.3175,,
mu09_02,3,5,400,301.4,0.00272,76,0.838,0.8635,,
mu09_02,3,6,480,414,0.00217,913,0.916,0.863,,
mu09_02,3,7,560,500,0.00937,326,0.988,0.0553,,
mu09_02,3,,,,,,,,560,442
mu09_03,4,1,80,44.3,0.00808,214,0.817,0.8071,,
mu09_03,4,2,160,269.6,0.00808,214,0.817,0.8071,,
mu09_03,4,3,240,482.8,0.00331,665,0.954,0.0625,,
mu09_03,4,4,320,334.9,0.00114,457,0.81,0.5873,,
