experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
mu09_01,10,4,320,500,0.00983,546,0.942,0.6352,,
mu09_01,10,,,,,,,,320,141
mu09_01,11,1,80,15.4,0.00213,236,0.88,0.8232,,
mu09_01,11,2,160,21.3,0.00881,866,0.884,0.5892,,
mu09_01,11,3,240,176.3,0.00128,33,0.804,0.8285,,
mu09_01,11,4,320,460,0.00262,860,0.959,0.2806,,
mu09_01,11,5,400,466.4,0.00444,868,0.998,0.5246,,
mu09_01,11,6,480,500,0.00497,740,0.94,0.397,,
mu09_01,11,,,,,,,,480,447
mu09_01,12,1,80,11.5,0.00957,333,0.876,0.9604,,
mu09_01,12,2,160,42.6,0.00245,796,0.928,0.8297,,
mu09_01,12,3,240,193.1,0.00957,333,0.876,0.9604,,
mu09_01,12,4,320,491,0.00084,154,0.999,0.6098,,
mu09_01,12,5,400,500,0.00494,31,0.975,0.5588,,
mu09_01,12,,,,,,,,400,273
mu09_01,13,1,80,11.5,0.0073,622,0.854,0.9761,,
mu09_01,13,2,160,39.2,0.00393,961,0.868,0.9135,,
mu09_01,13,3,240,438.9,0.0016,67,0.823,0.9996,,
mu09_01,13,4,320,500,0.0016,67,0.823,0.9996,,
mu09_01,13,,,,,,,,320,194
mu09_01,14,1,80,17.1,0.00353,98,0.871,0.459,,
mu09_01,14,2,160,36.7,0.00899,283,0.847,0.5023,,
mu09_01,14,3,240,500,0.00878,888,0.956,0.5823,,
mu09_01,14,,,,,,,,240,98
mu09_01,15,1,80,25.9,0.00454,966,0.89,0.3414,,
mu09_01,15,2,160,18.6,0.00967,703,0.859,0.6474,,
mu09_01,15,3,240,103,0.00288,967,0.995,0.4643,,
mu09_01,15,4,320,364.6,0.0017,962,0.996,0.4609,,
mu09_01,15,5,400,152.1,0.00462,1020,0.818,0.5481,,
mu09_01,15,6,480,178.5,0.00123,461,0.833,0.976,,
mu09_01,15,7,560,267.6,0.00123,461,0.833,0.976,,
mu09_01,15,8,640,265.7,0.00577,328,0.99,0.825,,
mu09_01,15,9,720,500,0.00874,966,0.997,0.7477,,
mu09_01,15,,,,,,,,720,498
