experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
Mu07-01,1,1,80,463.5,0.00661,205,0.834,0.254,,
Mu07-01,1,2,160,103.4,0.00791,381,0.981,0.535,,
Mu07-01,1,3,240,373,0.0005,142,0.982,0.9592,,
Mu07-01,1,4,320,500,0.0016,299,0.972,0.6211,,
Mu07-01,1,,,,,,,,320,65
Mu07-01,2,1,80,23.7,0.00388,353,0.914,0.0902,,
Mu07-01,2,2,160,33.3,0.0054,745,0.804,0.8879,,
Mu07-01,2,3,240,162.9,0.00104,957,0.931,0.7349,,
Mu07-01,2,4,320,155.6,0.0048,1023,0.939,0.999,,
Mu07-01,2,5,400,138.4,0.00668,281,0.885,0.7814,,
Mu07-01,2,6,480,187.2,0.00324,890,0.899,0.9559,,
Mu07-01,2,7,560,239.5,0.0064,985,0.891,0.0221,,
Mu07-01,2,8,640,168.5,0.001,939,0.976,0.5756,,
Mu07-01,2,9,720,153.4,0.001,939,0.976,0.5756,,
Mu07-01,2,10,800,197.1,0.00876,434,0.838,0.4717,,
Mu07-01,2,11,880,229.9,0.00889,298,0.946,0.7433,,
Mu07-01,2,12,960,278.1,0.00063,1010,0.897,0.9908,,
Mu07-01,2,13,1040,214.9,0.00063,1010,0.897,0.9908,,
Mu07-01,2,14,1120,166.3,0.00973,871,0.934,0.8872,,
Mu07-01,2,15,1200,274.9,0.00057,767,0.853,0.6813,,
Mu07-01,2,16,1280,295.5,0.00501,700,0.985,0.9113,,
Mu07-01,2,17,1360,215.9,0.00919,853,0.984,0.9543,,
Mu07-01,2,18,1440,225.7,0.00309,877,0.965,0.8655,,
Mu07-01,2,19,1520,313.7,0.00309,877,0.965,0.8655,,
Mu07-01,2,20,1600,268.2,0.00334,1012,0.998,0.9868,,
Mu07-01,2,21,1680,374.4,0.00011,1010,0.995,0.966,,
Mu07-01,2,22,1760,448.5,0.00615,1002,0.968,0.6744,,
Mu07-01,2,23,1840,426.3,0.00011,1010,0.995,0.966,,
Mu07-01,2,24,1920,500,0.00011,1010,0.995,0.966,,
Mu07-01,2,,,,,,,,1920,673
Mu07-01,3,1,80,10.4,0.00609,93,0.942,0.9977,,
Mu07-01,3,2,160,46.9,0.00652,148,0.95,0.9999,,
Mu07-01,3,3,240,176.2,0.00145,86,0.823,0.6313,,
Mu07-01,3,4,320,204.7,0.00145,86,0.823,0.6313,,
Mu07-01,3,5,400,195.3,0.00145,86,0.823,0.6313,,
Mu07-01,3,6,480,187.3,0.00011,950,0.928,0.9178,,
Mu07-01,3,7,560,198.2,0.00011,950,0.928,0.9178,,
Mu07-01,3,8,640,171.6,0.00423,843,0.984,0.9167,,
Mu07-01,3,9,720,171.4,0.00423,843,0.984,0.9167,,
Mu07-01,3,10,800,189.5,0.00274,688,0.99,0.4463,,
Mu07-01,3,11,880,158.3,0.00156,478,0.932,0.9627,,
Mu07-01,3,12,960,175.9,0.00749,397,0.907,0.8212,,
Mu07-01,3,13,1040,176.1,0.00916,177,0.822,0.9446,,
Mu07-01,3,14,1120,120.9,0.00049,617,0.974,0.4738,,
Mu07-01,3,15,1200,234.9,0.00243,1022,0.987,0.9662,,
Mu07-01,3,16,1280,489.3,0.00573,787,0.998,0.7894,,
Mu07-01,3,17,1360,411.4,0.00052,784,0.994,0.6354,,
Mu07-01,3,18,1440,283,0.00052,784,0.994,0.6354,,
Mu07-01,3,19,1520,217.4,0.00022,524,0.995,0.6635,,
Mu07-01,3,20,1600,174.8,0.00062,964,0.963,0.4531,,
Mu07-01,3,21,1680,142.6,0.00011,1011,0.978,0.4784,,
Mu07-01,3,22,1760,198.4,0.00011,1011,0.978,0.4784,,
Mu07-01,3,23,1840,239.3,0.00047,656,0.988,0.9418,,
Mu07-01,3,24,1920,282.7,0.00011,785,0.988,0.6699,,
Mu07-01,3,25,2000,279.1,0.00202,794,0.995,0.9233,,
Mu07-01,3,26,2080,270.9,0.0002,685,0.993,0.7969,,
Mu07-01,3,27,2160,343.2,0.0002,685,0.993,0.7969,,
Mu07-01,3,28,2240,136.1,0.00039,1022,0.99,0.6081,,
Mu07-01,3,29,2320,186.8,0.00039,1022,0.99,0.6081,,
Mu07-01,3,30,2400,144.9,0.0006,972,0.987,0.2859,,
Mu07-01,3,31,2480,188.7,0.00042,679,0.987,0.7695,,
Mu07-01,3,32,2560,144.2,0.0006,972,0.987,0.2859,,
Mu07-01,3,33,2640,216.8,0.00035,522,0.973,0.5052,,
Mu07-01,3,34,2720,246.8,0.00152,944,0.99,0.7548,,
Mu07-01,3,35,2800,207.4,0.00012,1008,0.982,0.2048,,
Mu07-01,3,36,2880,264,0.00803,329,0.805,0.9859,,
Mu07-01,3,37,2960,267.3,0.00909,680,0.813,0.9526,,
Mu07-01,3,38,3040,500,0.00999,592,0.8,0.9989,,
Mu07-01,3,,,,,,,,3040,1106
Mu07-01,4,1,80,29.4,0.00646,1019,0.97,0.0452,,
Mu07-01,4,2,160,500,0.00671,120,0.96,0.7172,,
Mu07-01,4,,,,,,,,160,16
Mu07-01,5,1,80,11.2,0.00906,193,0.936,0.8766,,
Mu07-01,5,2,160,32.8,0.00906,193,0.936,0.8766,,
Mu07-01,5,3,240,279,0.0076,253,0.846,0.044,,
Mu07-01,5,4,320,138.2,0.00723,790,0.951,0.9278,,
Mu07-01,5,5,400,152.7,0.00117,892,0.999,0.5231,,
Mu07-01,5,6,480,207.5,0.00519,728,0.935,0.7183,,
Mu07-01,5,7,560,143.3,0.00519,728,0.935,0.7183,,
Mu07-01,5,8,640,156.3,0.00185,984,0.806,0.2204,,
Mu07-01,5,9,720,500,0.00185,984,0.806,0.2204,,
Mu07-01,5,,,,,,,,720,232
Mu07-01,6,1,80,27.7,0.00709,122,0.832,0.4828,,
Mu07-01,6,2,160,22.7,0.00475,661,0.814,0.8938,,
Mu07-01,6,3,240,291,0.00039,803,0.917,0.5011,,
Mu07-01,6,4,320,462.5,0.0042,665,0.969,0.5422,,
Mu07-01,6,5,400,500,0.00646,267,0.994,0.8046,,
Mu07-01,6,,,,,,,,400,125
Mu07-01,7,1,80,13.4,0.0084,460,0.801,0.9243,,
Mu07-01,7,2,160,37.4,0.00421,539,0.869,0.9965,,
Mu07-01,7,3,240,500,0.00517,320,0.925,0.9682,,
Mu07-01,7,,,,,,,,240,32
Mu07-01,8,1,80,19.9,0.00193,457,0.938,0.3798,,
Mu07-01,8,2,160,17.8,0.00303,827,0.925,0.5579,,
Mu07-01,8,3,240,292.3,0.00303,827,0.925,0.5579,,
Mu07-01,8,4,320,500,0.00929,210,0.819,0.2166,,
Mu07-01,8,,,,,,,,320,48
Mu07-01,9,1,80,10.1,0.00394,248,0.888,0.4765,,
Mu07-01,9,2,160,14.1,0.00352,491,0.869,0.9801,,
Mu07-01,9,3,240,147.9,0.00352,491,0.869,0.9801,,
Mu07-01,9,4,320,500,0.00588,292,0.843,0.6509,,
Mu07-01,9,,,,,,,,320,44
Mu07-01,10,1,80,11.6,0.00539,62,0.979,0.7697,,
Mu07-01,10,2,160,96.5,0.00149,353,0.973,0.9846,,
Mu07-01,10,3,240,232.4,0.00405,465,0.962,0.9042,,
Mu07-01,10,4,320,146.4,0.00231,750,0.919,0.9817,,
Mu07-01,10,5,400,355.6,0.00707,1023,0.812,0.6189,,
Mu07-01,10,6,480,262.4,0.00707,1023,0.812,0.6189,,
Mu07-01,10,7,560,358.3,0.00575,952,0.93,0.4333,,
Mu07-01,10,8,640,202.4,0.00021,711,0.965,0.2951,,
Mu07-01,10,9,720,192.3,0.00321,941,0.961,0.73,,
Mu07-01,10,10,800,204.5,0.00319,929,0.8,0.8528,,
Mu07-01,10,11,880,500,0.00094,936,0.987,0.0491,,
Mu07-01,10,,,,,,,,880,523
Mu07-01,11,1,80,20.6,0.00644,784,0.956,0.6887,,
Mu07-01,11,2,160,27.4,0.00187,198,0.929,0.9565,,
Mu07-01,11,3,240,123.1,0.00187,198,0.929,0.9565,,
Mu07-01,11,4,320,500,0.00527,396,0.983,0.4233,,
Mu07-01,11,,,,,,,,320,61
Mu07-01,12,1,80,10,0.00147,167,0.892,0.7461,,
Mu07-01,12,2,160,11,0.00228,755,0.847,0.6239,,
