experiment_id,iteration,generation,total_population_episodes,score,learning_rate,batch_size,gamma,epsilon,wall_time,episodes_to_solve
PB2_LUNARLANDER_4,1,1,160,-54.7203408324001,0.00397258645075464,34,0.931002310827459,0.826294457481686,14.6323757171631,
PB2_LUNARLANDER_4,1,2,320,-121.444044824833,0.00397258645075464,34,0.931002310827459,0.826294457481686,44.7134246826172,
PB2_LUNARLANDER_4,1,3,480,33.3618695024217,0.01,251,0.999,0.01,107.526074647903,
PB2_LUNARLANDER_4,1,4,640,44.2004061349556,0.01,251,0.999,0.01,193.002729415894,
PB2_LUNARLANDER_4,1,5,800,219.466512251024,0.01,251,0.999,0.01,275.34437251091,800
PB2_LUNARLANDER_4,2,1,160,-11.0774890345163,0.00814463740058038,414,0.976393727871357,0.779290762373022,21.5220937728882,
PB2_LUNARLANDER_4,2,2,320,-45.4388114545114,0.00170369304934055,725,0.809807955206628,0.248493254348008,54.6731245517731,
PB2_LUNARLANDER_4,2,3,480,7.37064361397864,0.00146081321269218,623,0.828549668969081,0.111538598606488,134.489713907242,
PB2_LUNARLANDER_4,2,4,640,103.209528456893,0.000100000112283707,16,0.998999998950018,1,215.85893702507,
PB2_LUNARLANDER_4,2,5,800,61.2956001754401,0.00146081321269218,623,0.828549668969081,0.111538598606488,274.758327484131,
PB2_LUNARLANDER_4,2,6,960,44.212205574229,0.00807459034436758,899,0.827024509410502,0.287504074872672,361.400921583176,
PB2_LUNARLANDER_4,2,7,1120,-27.203097849894,0.00807459034436758,899,0.827024509410502,0.287504074872672,404.57590341568,
PB2_LUNARLANDER_4,2,8,1280,80.7086499498491,0.00146081321269218,623,0.828549668969081,0.111538598606488,476.590941905975,
PB2_LUNARLANDER_4,2,9,1440,103.654943229066,0.0001,16,0.999,0.01,548.696849822998,
PB2_LUNARLANDER_4,2,10,1600,5.02324031731317,0.0001,16,0.8,1,613.642058610916,
PB2_LUNARLANDER_4,2,11,1760,-7.1203730917183,0.0001,16,0.999,0.01,665.698902606964,
PB2_LUNARLANDER_4,2,12,1920,-48.2611896208789,0.0001,16,0.999,0.01,719.603744983673,
PB2_LUNARLANDER_4,2,13,2080,-16.5702605194799,0.0001,437,0.8,0.01,764.576222896576,
PB2_LUNARLANDER_4,2,14,2240,-10.2887917298699,0.0071187630086394,1024,0.968170814749951,0.739653038898282,800.445609092712,
PB2_LUNARLANDER_4,2,15,2400,1.31322101319702,0.0072467364090402,992,0.984408798702009,0.998527042804078,835.681135177612,
PB2_LUNARLANDER_4,2,16,2560,141.488195565969,0.0071187630086394,1024,0.968170814749951,0.739653038898282,889.382548093796,
