experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
A3,4,1,160,-115.389632,0.00664,921,0.9,0.7866,,
A3,4,2,320,-51.42412234,0.0071,523,0.918,0.6454,,
A3,4,3,480,-68.91502375,0.00653,1023,0.891,0.9598,,
A3,4,4,640,-25.91457042,0.00645,364,0.999,0.083,,
A3,4,5,800,-26.77911233,0.00896,685,0.812,0.0946,,
A3,4,6,960,101.116228193311,0.00645,364,0.999,0.083,,
A3,4,7,1120,254.805270597251,0.00645,364,0.999,0.083,,
A3,4,,,,,,,,1120,1805
A3,5,1,160,-138.3286824,0.00954,297,0.907,0.5396,,
A3,5,2,320,-76.03625899,0.00954,297,0.907,0.5396,,
A3,5,3,480,-52.80631534,0.00954,297,0.907,0.5396,,
A3,5,4,640,-55.04207786,0.00954,297,0.907,0.5396,,
A3,5,5,800,2.99080567216749,0.00929,972,0.998,0.2336,,
A3,5,6,960,209.77094756678,0.00929,972,0.998,0.2336,,
A3,5,,,,,,,,960,835
A2,5,1,160,0.870201230399252,0.00321,198,0.871,0.0365,,
A2,5,2,320,-38.81623004,0.00492,891,0.814,0.9979,,
A2,5,3,480,-38.40158664,0.00888,374,0.983,0.756,,
A2,5,4,640,-74.74272644,0.00768,717,0.973,0.9981,,
A2,5,5,800,-42.69473055,0.00884,822,0.994,0.0821,,
A2,5,6,960,143.544667567954,0.00884,822,0.994,0.0821,,
A2,5,7,1120,166.489107465664,0.00906,666,0.995,0.3753,,
A2,5,8,1280,106.045081622654,0.00979,886,0.986,0.8447,,
A2,5,9,1440,81.8191981153361,0.00979,886,0.986,0.8447,,
A2,5,10,1600,55.1174540073957,0.00979,886,0.986,0.8447,,
A2,5,11,1760,162.096552616298,0.00997,36,0.873,0.9166,,
A2,5,12,1920,130.010268171595,0.0023,20,0.984,0.0171,,
A2,5,13,2080,238.805644009279,0.0023,20,0.984,0.0171,,
A2,5,,,,,,,,2080,1994
A1,5,1,160,-88.94978586,0.0025,93,0.834,0.3142,,
A1,5,2,320,20.8090353498477,0.0025,93,0.834,0.3142,,
A1,5,3,480,-64.0373906,0.00807,539,0.814,0.4427,,
A1,5,4,640,55.2018271920797,0.00807,539,0.814,0.4427,,
A1,5,5,800,-4.803649036,0.00807,539,0.814,0.4427,,
A1,5,6,960,-37.38089289,0.00807,539,0.814,0.4427,,
A1,5,7,1120,17.4520393002443,0.0054,936,0.804,0.5593,,
A1,5,8,1280,-35.29448876,0.00126,469,0.977,0.9082,,
A1,5,9,1440,143.64776562436,0.00737,36,0.988,0.0445,,
A1,5,10,1600,128.836929925984,0.00673,133,0.986,0.2088,,
A1,5,11,1760,152.945702043078,0.00527,582,0.991,0.2395,,
A1,5,12,1920,244.824803533289,0.00456,139,0.997,0.1374,,
A1,5,,,,,,,,1920,2391
A3,6,1,160,8.25064693307074,0.0004,695,0.888,0.1728,,
A3,6,2,320,-52.17979564,0.0086,975,0.844,0.3079,,
A3,6,3,480,-27.06506898,0.00312,901,0.861,0.9114,,
A3,6,4,640,-41.90554981,0.0038,1023,0.956,0.3246,,
A3,6,5,800,0.950000767718356,0.00883,726,0.989,0.0617,,
A3,6,6,960,97.2709923005047,0.00883,726,0.989,0.0617,,
A3,6,7,1120,205.69328499364,0.00883,726,0.989,0.0617,,
A3,6,,,,,,,,1120,1398
A2,6,1,160,-15.75981121,0.00185,206,0.875,0.375,,
A2,6,2,320,-46.75825458,0.00155,414,0.973,0.0526,,
A2,6,3,480,-62.1932824,0.00173,632,0.979,0.7822,,
A2,6,4,640,-24.69935713,0.00155,414,0.973,0.0526,,
A2,6,5,800,157.212175257947,0.00632,725,0.986,0.2117,,
A2,6,6,960,213.351050034586,0.00488,832,0.968,0.0461,,
A2,6,,,,,,,,960,1414
A1,6,1,160,-97.25857856,0.00953,39,0.924,0.5827,,
A1,6,2,320,-64.38968548,0.00681,424,0.985,0.0998,,
A1,6,3,480,-29.90466766,0.00165,911,0.8,0.9062,,
A1,6,4,640,62.0081347912475,0.00687,985,0.994,0.1347,,
A1,6,5,800,81.2726591727933,0.00687,985,0.994,0.1347,,
A1,6,6,960,139.968595239879,0.00053,929,0.971,0.2367,,
A1,6,7,1120,231.150807051044,0.00083,935,0.997,0.482,,
A1,6,,,,,,,,1120,1650
A2,7,1,160,-82.69988315,0.00901,425,0.868,0.4294,,
A2,7,2,320,-73.48002831,0.00986,135,0.895,0.9962,,
A2,7,3,480,-73.17387459,0.00964,476,0.944,0.3444,,
A2,7,4,640,11.9909523438453,0.00999,200,0.985,0.1358,,
A2,7,5,800,122.55927710844,0.00214,869,0.987,0.8874,,
A2,7,6,960,154.143770790931,0.0054,735,0.995,0.4371,,
A2,7,7,1120,148.808218930959,0.0046,986,0.971,0.7138,,
A2,7,8,1280,183.126989151101,0.00451,912,0.976,0.7061,,
A2,7,9,1440,212.007539088165,0.00451,912,0.976,0.7061,,
A2,7,,,,,,,,1440,1876
A1,7,1,160,-133.7712236,0.00243,299,0.904,0.6679,,
A1,7,2,320,-102.332036,0.00888,41,0.949,0.076,,
A1,7,3,480,-10.71652102,0.00845,276,0.803,0.0673,,
A1,7,4,640,-18.38956179,0.00258,616,0.973,0.19,,
A1,7,5,800,144.986138083206,0.00133,566,0.982,0.1401,,
A1,7,6,960,163.085774680319,0.00258,616,0.973,0.19,,
A1,7,7,1120,176.597180347327,0.00012,424,0.989,0.2114,,
A1,7,8,1280,192.403016238709,0.00224,879,0.984,0.16,,
A1,7,9,1440,194.291149237381,0.00986,125,0.974,0.5164,,
A1,7,10,1600,207.242039932798,0.00986,125,0.974,0.5164,,
A1,7,,,,,,,,1600,2696
A2,8,1,160,-149.9160365,0.00914,657,0.891,0.5222,,
A2,8,2,320,-64.63806596,0.00239,645,0.861,0.9784,,
A2,8,3,480,31.0353915847065,0.00398,529,0.803,0.9768,,
A2,8,4,640,31.4774331307603,0.00524,915,0.918,0.4389,,
A2,8,5,800,-43.38107073,0.00913,767,0.808,0.3442,,
A2,8,6,960,154.122002707759,0.00092,116,0.835,0.8111,,
A2,8,7,1120,47.1648011828664,0.00805,888,0.98,0.025,,
A2,8,8,1280,180.967731782189,0.00805,888,0.98,0.025,,
A2,8,9,1440,153.732328060622,0.00805,888,0.98,0.025,,
A2,8,10,1600,98.6882659,0.00984,276,0.916,0.9763,,
A2,8,11,1760,216.869078266126,0.00961,611,0.986,0.9292,,
A2,8,,,,,,,,1760,2226
A3,7,1,160,-139.4173876,0.00666,247,0.898,0.5346,,
A3,7,2,320,-64.67177934,0.00712,513,0.896,0.9645,,
