experiment_id,run_iteration,gen,total_episodes,score,lr,batch_size,gamma,epsilon,Max Iteration Episode,Iteration time
mu00_01,1,1,80,11.7,0.00574,630,0.893,0.956,,
mu00_01,1,2,160,48.9,0.00976,281,0.854,0.9059,,
mu00_01,1,3,240,275.5,0.00245,339,0.985,0.9919,,
mu00_01,1,4,320,500.0,0.00959,138,0.884,0.5541,,
mu00_01,1,,,,,,,,320,122
mu00_01,2,1,80,16.9,0.00144,328,0.884,0.2644,,
mu00_01,2,2,160,49.0,0.00619,82,0.961,0.6252,,
mu00_01,2,3,240,280.4,0.00132,384,0.995,0.2438,,
mu00_01,2,4,320,500.0,0.00132,384,0.995,0.2438,,
mu00_01,2,,,,,,,,320,189
mu00_01,3,1,80,11.4,0.00244,982,0.863,0.7613,,
mu00_01,3,2,160,32.0,0.00509,668,0.872,0.6135,,
mu00_01,3,3,240,228.5,0.00467,810,0.948,0.4685,,
mu00_01,3,4,320,117.7,0.00467,810,0.948,0.4685,,
mu00_01,3,5,400,206.0,0.00975,959,0.957,0.7641,,
mu00_01,3,6,480,383.0,0.00994,770,0.966,0.6494,,
mu00_01,3,7,560,500.0,0.00583,1017,0.999,0.3378,,
mu00_01,3,,,,,,,,560,375
mu00_01,4,1,80,24.9,0.00518,475,0.876,0.5125,,
mu00_01,4,2,160,120.2,0.00874,886,0.912,0.892,,
mu00_01,4,3,240,274.7,0.00853,162,0.928,0.3019,,
mu00_01,4,4,320,500.0,0.00853,162,0.928,0.3019,,
mu00_01,4,,,,,,,,320,196
mu00_01,5,1,80,40.9,0.00598,519,0.949,0.5513,,
mu00_01,5,2,160,118.1,0.00598,519,0.949,0.5513,,
mu00_01,5,3,240,500.0,0.00276,442,0.976,0.3912,,
mu00_01,5,,,,,,,,240,138
mu00_01,6,1,80,23.7,0.00272,256,0.913,0.3951,,
mu00_01,6,2,160,15.3,0.00227,491,0.97,0.9894,,
mu00_01,6,3,240,500.0,0.00205,308,0.875,0.8528,,
mu00_01,6,,,,,,,,240,118
mu00_01,7,1,80,90.7,0.00398,879,0.869,0.248,,
mu00_01,7,2,160,17.1,0.00398,879,0.869,0.248,,
mu00_01,7,3,240,494.7,0.00208,651,0.892,0.5424,,
mu00_01,7,4,320,424.9,0.00925,891,0.988,0.9142,,
mu00_01,7,5,400,374.4,0.00218,901,0.942,0.8905,,
mu00_01,7,6,480,309.3,0.00925,891,0.988,0.9142,,
mu00_01,7,7,560,500.0,0.00332,892,0.821,0.2287,,
mu00_01,7,,,,,,,,560,465
mu00_01,8,1,80,10.5,0.00238,826,0.886,0.0754,,
mu00_01,8,2,160,38.6,0.00846,819,0.871,0.5222,,
mu00_01,8,3,240,131.1,0.00691,797,0.933,0.3233,,
mu00_01,8,4,320,197.5,0.00498,851,0.878,0.8432,,
mu00_01,8,5,400,235.5,0.0068,555,0.808,0.8965,,
mu00_01,8,6,480,466.8,0.00154,660,0.803,0.8026,,
mu00_01,8,7,560,212.7,0.00674,340,0.8,0.6432,,
mu00_01,8,8,640,453.4,0.0044,597,0.862,0.8802,,
mu00_01,8,9,720,110.2,0.0044,597,0.862,0.8802,,
mu00_01,8,10,800,100.4,0.00017,470,0.86,0.8811,,
mu00_01,8,11,880,484.6,0.00833,16,0.955,0.5896,,
mu00_01,8,12,960,132.0,0.00045,265,0.939,0.8261,,
mu00_01,8,13,1040,178.0,0.00017,470,0.86,0.8811,,
mu00_01,8,14,1120,197.5,0.00997,627,0.949,0.983,,
mu00_01,8,15,1200,192.5,0.00997,627,0.949,0.983,,
mu00_01,8,16,1280,116.3,0.00753,855,0.909,0.9849,,
mu00_01,8,17,1360,145.5,0.0036,1023,0.999,0.7963,,
mu00_01,8,18,1440,143.3,0.00093,884,0.946,0.92,,
mu00_01,8,19,1520,158.6,0.00011,914,0.927,0.8814,,
mu00_01,8,20,1600,145.6,0.00011,193,0.999,0.7778,,
mu00_01,8,21,1680,174.0,0.00798,836,0.84,0.9493,,
mu00_01,8,22,1760,144.1,0.00065,870,0.908,0.9756,,
mu00_01,8,23,1840,148.0,0.00035,907,0.916,0.8078,,
mu00_01,8,24,1920,132.3,0.00201,1010,0.809,0.3207,,
mu00_01,8,25,2000,146.1,0.00995,657,0.998,0.9544,,
mu00_01,8,26,2080,152.9,0.00036,1010,0.864,0.295,,
mu00_01,8,27,2160,405.0,0.00806,868,0.999,0.7324,,
mu00_01,8,28,2240,148.7,0.00806,868,0.999,0.7324,,
mu00_01,8,29,2320,125.0,0.00319,1023,0.832,0.7388,,
mu00_01,8,30,2400,252.0,0.00999,998,0.972,0.5535,,
mu00_01,8,31,2480,207.5,0.00927,946,0.997,0.5158,,
mu00_01,8,32,2560,500.0,0.00983,1021,0.987,0.1045,,
mu00_01,8,,,,,,,,2560,1796
mu00_01,9,1,80,10.3,0.00495,662,0.853,0.725,,
mu00_01,9,2,160,42.1,0.00818,1017,0.859,0.2691,,
mu00_01,9,3,240,252.3,0.00854,656,0.959,0.1338,,
mu00_01,9,4,320,185.8,0.00865,185,0.802,0.7044,,
mu00_01,9,5,400,201.9,0.00707,210,0.89,0.9278,,
mu00_01,9,6,480,500.0,0.00781,221,0.886,0.2143,,
mu00_01,9,,,,,,,,480,424
mu00_01,10,1,80,10.9,0.00886,489,0.965,0.5708,,
mu00_01,10,2,160,177.1,0.00031,318,0.939,0.3069,,
mu00_01,10,3,240,442.4,0.00886,489,0.965,0.5708,,
mu00_01,10,4,320,500.0,0.00179,828,0.849,0.0599,,
mu00_01,10,,,,,,,,320,325
mu00_01,11,1,80,9.8,0.00099,120,0.871,0.2928,,
mu00_01,11,2,160,80.8,0.00668,1023,0.999,0.3288,,
mu00_01,11,3,240,153.5,0.00919,447,0.85,0.6518,,
mu00_01,11,4,320,171.2,0.00887,534,0.854,0.8045,,
mu00_01,11,5,400,500.0,0.00843,27,0.84,0.4953,,
mu00_01,11,,,,,,,,400,223
mu00_01,12,1,80,11.9,0.0066,148,0.946,0.2977,,
mu00_01,12,2,160,11.0,0.00922,602,0.959,0.3703,,
mu00_01,12,3,240,218.1,0.00949,741,0.921,0.9672,,
mu00_01,12,4,320,372.4,0.00949,741,0.921,0.9672,,
mu00_01,12,5,400,401.9,0.00282,977,0.836,0.9511,,
